Date Time,tg (°C),tnw (°C),ta (°C),rh (%),va (m/s),WBGT_I (°C),WBGT_O (°C),HI (°C),Hx
2/14/2017 1:56:00 PM,28.9,28.9,29.0,49.0,-999999.0,28.9,28.9,29.5,34.4
2/14/2017 1:58:00 PM,29.0,29.0,29.0,50.1,-999999.0,29.0,29.0,29.7,34.7
2/14/2017 2:00:00 PM,29.0,29.0,29.0,49.5,-999999.0,29.0,29.0,29.6,34.6
2/14/2017 2:02:00 PM,29.0,29.0,29.0,49.7,-999999.0,29.0,29.0,29.7,34.6
2/14/2017 2:04:00 PM,29.0,29.0,29.1,49.9,-999999.0,29.0,29.0,29.7,34.8
2/14/2017 2:06:00 PM,29.1,29.1,29.1,49.2,-999999.0,29.1,29.1,29.7,34.6
2/14/2017 2:08:00 PM,29.1,29.1,29.1,49.0,-999999.0,29.1,29.1,29.7,34.6
2/14/2017 2:10:00 PM,29.1,29.1,29.1,49.0,-999999.0,29.1,29.1,29.7,34.6
2/14/2017 2:12:00 PM,29.1,29.1,29.1,49.0,-999999.0,29.1,29.1,29.7,34.7
2/14/2017 2:14:00 PM,29.1,29.1,29.1,49.0,-999999.0,29.1,29.1,29.7,34.7
2/14/2017 2:16:00 PM,29.1,29.1,29.1,49.0,-999999.0,29.1,29.1,29.7,34.7
2/14/2017 2:18:00 PM,29.1,29.1,29.2,49.1,-999999.0,29.1,29.1,29.8,34.7
2/14/2017 2:20:00 PM,29.1,29.2,29.2,49.1,-999999.0,29.2,29.2,29.8,34.7
2/14/2017 2:22:00 PM,29.1,29.2,29.2,49.1,-999999.0,29.2,29.2,29.8,34.7
2/14/2017 2:24:00 PM,29.2,29.2,29.2,49.1,-999999.0,29.2,29.2,29.8,34.8
2/14/2017 2:26:00 PM,29.1,29.2,29.2,49.0,-999999.0,29.2,29.2,29.8,34.7
2/14/2017 2:28:00 PM,29.1,29.2,29.2,48.8,-999999.0,29.2,29.2,29.8,34.7
2/14/2017 2:30:00 PM,29.1,29.2,29.2,48.8,-999999.0,29.2,29.2,29.8,34.7
2/14/2017 2:32:00 PM,29.2,29.2,29.2,49.1,-999999.0,29.2,29.2,29.8,34.8
2/14/2017 2:34:00 PM,29.2,29.2,29.2,48.7,-999999.0,29.2,29.2,29.8,34.7
2/14/2017 2:36:00 PM,29.2,29.2,29.2,48.7,-999999.0,29.2,29.2,29.8,34.7
