timestamp,topic,code
1493796703,nodemcu/peer1/msg,"00002 00805 0301000129,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796704,nodemcu/peer1/msg,"00003 00805 0301000130,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796705,nodemcu/peer1/msg,"00004 00805 0301000130,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796705,nodemcu/peer1/msg,"00005 00805 0301000131,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796706,nodemcu/peer1/msg,"00006 00805 0301000132,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796707,nodemcu/peer1/msg,"00007 00805 0301000133,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796708,nodemcu/peer1/msg,"00008 00805 0301000134,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796709,nodemcu/peer1/msg,"00009 00805 0301000134,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796710,nodemcu/peer1/msg,"00010 00805 0301000135,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796710,nodemcu/peer1/msg,"00011 00805 0301000136,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796711,nodemcu/peer1/msg,"00012 00805 0301000137,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796712,nodemcu/peer1/msg,"00013 00805 0301000138,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796713,nodemcu/peer1/msg,"00014 00805 0301000139,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796713,nodemcu/peer1/msg,"00015 00805 0301000139,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796715,nodemcu/peer1/msg,"00016 00806 0301000140,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796715,nodemcu/peer1/msg,"00017 00806 0301000141,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796716,nodemcu/peer1/msg,"00018 00806 0301000142,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796717,nodemcu/peer1/msg,"00019 00806 0301000143,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796718,nodemcu/peer1/msg,"00020 00806 0301000143,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796718,nodemcu/peer1/msg,"00021 00806 0301000144,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796719,nodemcu/peer1/msg,"00022 00806 0301000145,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796720,nodemcu/peer1/msg,"00023 00806 0301000146,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
1493796722,nodemcu/peer1/msg,"00024 00806 0301000147,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W,0.00A,0.00V,0.00W
 0.00V
"
